iter	Logloss
0	0.6850621166
1	0.6771406487
2	0.6693851363
3	0.661881687
4	0.6554606901
5	0.6489676795
6	0.6423435447
7	0.6362364115
8	0.6298413476
9	0.6238665112
10	0.6175504946
11	0.6114224024
12	0.6055910383
13	0.5999307221
14	0.5943627598
15	0.5889965388
16	0.5840051001
17	0.5788405828
18	0.5746935826
19	0.5694714234
20	0.5649186149
21	0.5607644511
22	0.5558078357
23	0.552179612
24	0.5497319806
25	0.5449155177
26	0.5405414422
27	0.5365470481
28	0.5324303789
29	0.529087707
30	0.525098458
31	0.5220895745
32	0.5186599542
33	0.5163105217
34	0.5144567306
35	0.5122108858
36	0.5094572431
37	0.5058741643
38	0.5029093686
39	0.4997359506
40	0.4973758002
41	0.4953300432
42	0.4924804906
43	0.4903073363
44	0.4877819509
45	0.4860837407
46	0.484155942
47	0.4825444677
48	0.4809602855
49	0.4792868508
50	0.4778220737
51	0.4763993253
52	0.4742489123
53	0.4729842902
54	0.4716958648
55	0.4701747291
56	0.4685036606
57	0.4666950354
58	0.4652862446
59	0.4637707286
60	0.4617679587
61	0.4594554186
62	0.4576876776
63	0.4563173179
64	0.4548050399
65	0.4531223418
66	0.4517818527
67	0.4504884686
68	0.4491025944
69	0.4477532159
70	0.445916515
71	0.4442131449
72	0.4429922791
73	0.4418100269
74	0.4403936361
75	0.4384417756
76	0.437195143
77	0.4356485035
78	0.433943982
79	0.4326827182
80	0.4315094729
81	0.4299942369
82	0.4288762678
83	0.4279347634
84	0.4257901627
85	0.4243303617
86	0.4232233926
87	0.4221558663
88	0.4211219588
89	0.4198051566
90	0.418498125
91	0.4175607854
92	0.4163310868
93	0.4150510308
94	0.4135321354
95	0.4119355215
96	0.4108366922
97	0.4097908047
98	0.4088392198
99	0.4076182569
100	0.4067065909
101	0.4056693543
102	0.4046709507
103	0.4035387579
104	0.4026359966
105	0.4016449589
106	0.4001141109
107	0.3986469087
108	0.3973074808
109	0.3961457681
110	0.3950864718
111	0.3941552691
112	0.3931592299
113	0.3921859102
114	0.3913404394
115	0.3902781131
116	0.3892006379
117	0.3882079063
118	0.3871110308
119	0.3856468
120	0.384126608
121	0.383053591
122	0.3819864606
123	0.3810910618
124	0.3802203743
125	0.3794279727
126	0.3785065351
127	0.3772507654
128	0.3765316657
129	0.3756409339
130	0.3748002483
131	0.3740007107
132	0.3732462188
133	0.3721876481
134	0.3711762534
135	0.3702447305
136	0.3693114738
137	0.368410919
138	0.3672843281
139	0.3664210197
140	0.3655392266
141	0.364653602
142	0.3637306378
143	0.3628801932
144	0.3616232007
145	0.3608485485
146	0.3600487793
147	0.3592181364
148	0.3585033161
149	0.3578307111
150	0.3564956049
151	0.3556795149
152	0.3548900344
153	0.3538387142
154	0.3530022912
155	0.3524183267
156	0.3516176781
157	0.3503501012
158	0.34951792
159	0.3485993405
160	0.3464449898
161	0.3456924585
162	0.3446138066
163	0.3437752481
164	0.3430479016
165	0.3424276563
166	0.3416658401
167	0.3408436203
168	0.3398718827
169	0.3390810283
170	0.3383971301
171	0.3377173555
172	0.3370076166
173	0.3362193812
174	0.3356729657
175	0.335006905
176	0.3341707854
177	0.3335007606
178	0.332651745
179	0.3314302892
180	0.3304103708
181	0.3296235902
182	0.3288342063
183	0.3280443133
184	0.3271816948
185	0.3258284868
186	0.3251132085
187	0.3244222087
188	0.3237225072
189	0.3230328119
190	0.3223864464
191	0.3216621049
192	0.3208397404
193	0.3202180847
